"last_name, first_name","player_id","year","on_base_plus_slg","babip","xbadiff","xslgdiff","wobadiff"
"Bell, Josh","605137","2021","0.823",".276","-0.016","-0.012","-0.015"
"Betts, Mookie","605141","2021","0.854",".276",".001",".042",".008"
"Caratini, Victor","605170","2021","0.632",".281","-0.001","-0.032","-0.017"
"Zimmer, Bradley","605548","2021","0.669",".347",".003","-0.027","-0.017"
"Castro, Harold","605612","2021","0.669",".351","-0.004","-0.055","-0.024"
"Tapia, Raimel","606132","2021","0.699",".306",".032",".064",".032"
"Hernández, Teoscar","606192","2021","0.870",".352",".012","-0.013","-0.001"
"Marte, Ketel","606466","2021","0.909",".352",".011",".037",".013"
"Haase, Eric","606992","2021","0.745",".278","-0.003","-0.002","-0.006"
"Nimmo, Brandon","607043","2021","0.838",".366",".025",".051",".024"
"Peterson, Jace","607054","2021","0.715",".310",".012","-0.001","-0.001"
"Turner, Trea","607208","2021","0.911",".362",".024",".051",".022"
"Pillar, Kevin","607680","2021","0.692",".261",".007",".043",".016"
"Stallings, Jacob","607732","2021","0.704",".297",".001",".000","-0.002"
"Ramírez, José","608070","2021","0.893",".256","-0.017",".030","-0.004"
"Bregman, Alex","608324","2021","0.777",".286",".012",".005",".004"
"Gallo, Joey","608336","2021","0.809",".246",".000","-0.002","-0.004"
"Kelly, Carson","608348","2021","0.754",".270","-0.014","-0.017","-0.018"
"Seager, Corey","608369","2021","0.915",".336",".011","-0.009","-0.003"
"Winker, Jesse","608385","2021","0.950",".324",".010",".032",".013"
"Murphy, Tom","608596","2021","0.654",".265",".009",".003","-0.001"
"Reyes, Franmil","614177","2021","0.846",".314",".008",".010",".001"
"Torrens, Luis","620443","2021","0.730",".294","-0.002",".003","-0.007"
"Swanson, Dansby","621020","2021","0.760",".297","-0.003","-0.006","-0.010"
"Newman, Kevin","621028","2021","0.574",".236","-0.029","-0.021","-0.026"
"Taylor, Chris","621035","2021","0.782",".337",".017",".016",".009"
"Correa, Carlos","621043","2021","0.851",".308","-0.017",".003","-0.009"
"Stewart, DJ","621466","2021","0.698",".254","-0.001","-0.008","-0.004"
"Wisdom, Patrick","621550","2021","0.823",".318",".015",".058",".025"
"Wendle, Joey","621563","2021","0.741",".327",".027",".066",".031"
"Olson, Matt","621566","2021","0.911",".269",".007",".033",".001"
"Duffy, Matt","622110","2021","0.738",".351",".012","-0.004",".002"
"Margot, Manuel","622534","2021","0.695",".281","-0.014","-0.015","-0.017"
"Bote, David","623520","2021","0.606",".235","-0.027","-0.063","-0.040"
"Ramírez, Harold","623912","2021","0.703",".301",".006",".003",".000"
"Santander, Anthony","623993","2021","0.719",".275","-0.028","-0.013","-0.021"
"Alonso, Pete","624413","2021","0.863",".274","-0.009","-0.023","-0.014"
"Conforto, Michael","624424","2021","0.728",".276","-0.021","-0.052","-0.028"
"Frazier, Adam","624428","2021","0.779",".339",".017",".035",".017"
"Trevino, Jose","624431","2021","0.607",".279","-0.009","-0.034","-0.024"
"Soler, Jorge","624585","2021","0.748",".250","-0.027","-0.062","-0.036"
"Sosa, Edmundo","624641","2021","0.735",".326",".012",".003",".002"
"Heredia, Guillermo","628338","2021","0.665",".282",".000",".018",".002"
"Cronenworth, Jake","630105","2021","0.800",".283","-0.010",".017","-0.003"
"Meadows, Austin","640457","2021","0.773",".249","-0.006",".033",".001"
"Anderson, Tim","641313","2021","0.807",".372",".031",".027",".021"
"Bauers, Jake","641343","2021","0.567",".275","-0.024","-0.084","-0.040"
"Bellinger, Cody","641355","2021","0.542",".196","-0.044","-0.056","-0.044"
"Crawford, J.P.","641487","2021","0.714",".320",".016",".037",".016"
"Dozier, Hunter","641531","2021","0.679",".276","-0.008",".006","-0.006"
"Hampson, Garrett","641658","2021","0.669",".291","-0.002",".006","-0.003"
"Mancini III, Trey","641820","2021","0.758",".308","-0.011","-0.020","-0.015"
"McKinney, Billy","641856","2021","0.638",".235","-0.018",".003","-0.011"
"McMahon, Ryan","641857","2021","0.780",".306",".010",".023",".009"
"O'Neill, Tyler","641933","2021","0.912",".366",".010","-0.019","-0.005"
"Smith, Dominic","642086","2021","0.667",".298","-0.018","-0.057","-0.034"
"Tellez, Rowdy","642133","2021","0.719",".275","-0.023","-0.057","-0.034"
"VanMeter, Josh","642165","2021","0.651",".278",".009",".033",".013"
"Rosario, Amed","642708","2021","0.730",".340",".015",".041",".015"
"Adames, Willy","642715","2021","0.818",".331",".026",".043",".024"
"Benintendi, Andrew","643217","2021","0.766",".309",".015","-0.014","-0.003"
"Kemp, Tony","643393","2021","0.800",".304",".029",".069",".030"
"Kiner-Falefa, Isiah","643396","2021","0.669",".304",".004",".008",".001"
"McNeil, Jeff","643446","2021","0.679",".280","-0.006","-0.027","-0.014"
"Albies, Ozzie","645277","2021","0.798",".278",".002",".027",".007"
"Robles, Victor","645302","2021","0.605",".271","-0.013","-0.019","-0.014"
"Devers, Rafael","646240","2021","0.890",".307","-0.012","-0.029","-0.021"
"Toro, Abraham","647351","2021","0.688",".254","-0.008","-0.043","-0.020"
"Díaz, Aledmys","649557","2021","0.722",".304","-0.008","-0.006","-0.008"
"Urías, Luis","649966","2021","0.790",".280",".008",".018",".007"
"Arraez, Luis","650333","2021","0.733",".323","-0.001","-0.035","-0.016"
"Torres, Gleyber","650402","2021","0.697",".314","-0.006","-0.057","-0.024"
