"last_name, first_name","player_id","year","on_base_plus_slg","xbadiff","xslgdiff","wobadiff"
"Goldschmidt, Paul","502671","2024","0.716","-0.010","-0.036","-0.019"
"Altuve, Jose","514888","2024","0.789",".033",".040",".028"
"Marte, Starling","516782","2024","0.715","-0.018","-0.037","-0.024"
"d'Arnaud, Travis","518595","2024","0.738",".002",".002","-0.003"
"Freeman, Freddie","518692","2024","0.854",".004",".010","-0.002"
"Rizzo, Anthony","519203","2024","0.636","-0.012","-0.005","-0.012"
"Stanton, Giancarlo","519317","2024","0.773","-0.016","-0.034","-0.022"
"Perez, Salvador","521692","2024","0.786","-0.004","-0.066","-0.025"
"Ozuna, Marcell","542303","2024","0.924",".015","-0.027","-0.007"
"Semien, Marcus","543760","2024","0.699","-0.014",".000","-0.007"
"Springer III, George","543807","2024","0.674","-0.024","-0.031","-0.024"
"Vázquez, Christian","543877","2024","0.575","-0.013","-0.024","-0.017"
"Vargas, Ildemaro","545121","2024","0.611","-0.009","-0.006","-0.009"
"Harper, Bryce","547180","2024","0.898",".018",".051",".023"
"Díaz, Elias","553869","2024","0.695",".023",".039",".023"
"Suárez, Eugenio","553993","2024","0.788",".009",".022",".007"
"Urshela, Gio","570482","2024","0.647","-0.014","-0.028","-0.021"
"Arenado, Nolan","571448","2024","0.719",".017",".038",".018"
"Haniger, Mitch","571745","2024","0.620","-0.008","-0.030","-0.015"
"Hernández, Enrique","571771","2024","0.654","-0.004",".011",".000"
"Singleton, Jon","572138","2024","0.707",".006",".004",".002"
"Taylor, Michael A.","572191","2024","0.543","-0.011","-0.043","-0.028"
"Walker, Christian","572233","2024","0.803",".005",".011","-0.008"
"Yastrzemski, Mike","573262","2024","0.739",".012",".040",".018"
"Contreras, Willson","575929","2024","0.848",".004",".013",".005"
"Canha, Mark","592192","2024","0.690",".030",".040",".022"
"Castellanos, Nick","592206","2024","0.742","-0.017","-0.010","-0.012"
"Drury, Brandon","592273","2024","0.470","-0.033","-0.059","-0.042"
"Judge, Aaron","592450","2024","1.159",".012","-0.022","-0.003"
"Machado, Manny","592518","2024","0.797",".003",".011",".002"
"Pederson, Joc","592626","2024","0.908",".011",".035",".013"
"Realmuto, J.T.","592663","2024","0.751","-0.002","-0.030","-0.013"
"Renfroe, Hunter","592669","2024","0.689",".006",".030",".011"
"Rosario, Eddie","592696","2024","0.531","-0.036","-0.024","-0.027"
